list-none-none,1,10,1,30,162555,5418
list-none-none,1,100,1,300,220381,734
list-none-none,1,1000,1,3000,6417101,2139
list-none-none,1,10000,1,30000,680727884,22690
list-none-none,1,20000,1,60000,-638756392,60936
list-i-m,12,32,1,1152,2229168,1935
list-d-m,12,32,1,1152,2413941,2095
list-il-m,12,32,1,1152,9953624,8640
list-dl-m,12,32,1,1152,9236736,8018
list-i-s,12,32,1,1152,4828617,4191
list-d-s,12,32,1,1152,4950487,4297
list-il-s,12,32,1,1152,26469411,22976
list-dl-s,12,32,1,1152,16312735,14160
list-none-none,1,1000,1,3000,4601806,1533
list-none-m,1,1000,1,3000,6441391,2147
list-none-m,2,1000,1,6000,36972026,6162
list-none-m,4,1000,1,12000,122571193,10214
list-none-m,8,1000,1,24000,384127499,16005
list-none-m,12,1000,1,36000,957639011,26601
list-none-m,16,1000,1,48000,1680181381,35003
list-none-m,24,1000,1,72000,-307174368,55386
list-none-s,1,1000,1,3000,6438338,2146
list-none-s,2,1000,1,6000,18828584,3138
list-none-s,4,1000,1,12000,228107798,19008
list-none-s,8,1000,1,24000,1405747222,58572
list-none-s,12,1000,1,36000,-1425769022,79699
list-none-s,16,1000,1,48000,1348145723,207043
list-none-s,24,1000,1,72000,572744778,485173
list-none-none,2,1,1,6,113001,18833
list-none-none,2,10,1,60,113252,1887
list-none-none,2,100,1,600,280983,468
list-none-none,4,1,1,12,235041,19586
list-none-none,4,10,1,120,247253,2060
list-none-none,4,1000,1,12000,40141635,3345
list-i-none,2,1,1,6,130767,21794
list-i-none,2,2,1,12,189799,15816
list-i-none,2,4,1,24,146464,6102
list-i-none,2,16,1,96,160188,1668
list-i-none,4,4,1,48,1281570,26699
list-i-none,8,1,1,24,309816,12909
list-i-none,8,2,1,48,333270,6943
list-i-none,12,1,1,36,460610,12794
list-d-none,2,1,1,6,131010,21835
list-d-none,2,2,1,12,144428,12035
list-d-none,2,4,1,24,963463,40144
list-d-none,2,8,1,48,156580,3262
list-d-none,2,16,1,96,166097,1730
list-d-none,4,1,1,12,960343,80028
list-d-none,4,2,1,24,195654,8152
list-d-none,4,4,1,48,201586,4199
list-d-none,4,8,1,96,230013,2395
list-d-none,8,1,1,24,327530,13647
list-d-none,8,8,1,192,409554,2133
list-d-none,12,1,1,36,398795,11077
list-d-none,12,4,1,144,421199,2924
list-il-none,2,2,1,12,135291,11274
list-il-none,2,4,1,24,113085,4711
list-il-none,2,8,1,48,132180,2753
list-il-none,2,32,1,192,469975,2447
list-il-none,4,4,1,48,174021,3625
list-il-none,8,2,1,48,268448,5592
list-il-none,8,16,1,384,552739,1439
list-dl-none,2,4,1,24,136664,5694
list-dl-none,2,8,1,48,895566,18657
list-dl-none,2,16,1,96,188932,1968
list-dl-none,4,1,1,12,179570,14964
list-dl-none,4,2,1,24,231346,9639
list-dl-none,8,2,1,48,323851,6746
list-dl-none,12,1,1,36,491248,13645
list-dl-none,12,2,1,72,439230,6100
